# x_m, y_m, w_tr_right_m, w_tr_left_m
0.67,0.37,0.6,0.55
0.67,0.47,0.6,0.55
0.67,0.57,0.6,0.55
0.67,0.67,0.6,0.55
0.67,0.77,0.6,0.55
0.67,0.87,0.6,0.55
0.67,0.97,0.6,0.55
0.67,1.07,0.6,0.55
0.67,1.17,0.6,0.55
0.67,1.27,0.6,0.55
0.67,1.37,0.6,0.55
0.67,1.47,0.6,0.55
0.67,1.57,0.60192,0.55
0.67,1.67,0.617083,0.55
0.67,1.77,0.646419,0.55
0.72,1.87,0.6,0.60192
0.72,1.97,0.60192,0.607647
0.72,2.07,0.617083,0.6
0.72,2.17,0.646419,0.6
0.72,2.27,0.688241,0.568466
0.77,2.37,0.7,0.60192
0.77,2.42,0.7,0.6
0.82,2.52,0.65,0.630074
0.82,2.62,0.65,0.607647
0.82,2.72,0.65,0.6
0.82,2.82,0.65,0.6
0.82,2.92,0.65,0.6
0.82,3.02,0.65,0.6
0.82,3.12,0.65,0.6
0.82,3.22,0.65,0.6
0.82,3.32,0.65,0.6
0.82,3.42,0.65,0.6
0.82,3.52,0.65,0.6
0.82,3.62,0.65,0.6
0.82,3.72,0.65,0.6
0.82,3.82,0.65,0.6
0.82,3.92,0.65,0.607647
0.82,4.02,0.65,0.630074
0.82,4.12,0.65,0.665891
0.77,4.22,0.7,0.646419
0.72,4.32,0.713217,0.630074
0.72,4.37,0.688241,0.646419
0.67,4.47,0.693303,0.644622
0.62,4.57,0.714853,0.660634
0.57,4.67,0.751561,0.692462
0.57,4.72,0.740569,0.727817
0.52,4.82,0.763941,0.763173
0.47,4.87,0.805862,0.763173
0.42,4.97,0.836002,0.798528
0.37,5.07,0.862414,0.833883
0.32,5.17,0.884077,0.869239
0.27,5.22,0.920824,0.869239
0.22,5.32,0.911769,0.904594
0.17,5.37,0.934886,0.905249
0.12,5.47,0.946243,0.95
0.07,5.52,0.975914,0.962423
-0.03,5.57,0.962423,0.956231
-0.13,5.62,0.956231,0.956231
-0.18,5.62,0.979563,0.934886
-0.28,5.67,0.962423,0.946243
-0.38,5.72,0.956231,0.969804
-0.43,5.72,0.979563,0.961187
-0.53,5.77,0.979563,1.00119
-0.63,5.77,1.009481,0.980776
-0.73,5.82,1.00119,1.01066
-0.83,5.82,1.046586,1.00119
-0.88,5.87,1.023546,1.05
-1.18,5.87,1.047725,1.06018
-1.28,5.82,1.031665,1.029352
-1.38,5.77,1.023546,1.009481
-1.48,5.77,0.979563,1.042016
-1.53,5.72,1.00119,1.009481
-1.63,5.67,1.009481,1.00119
-1.73,5.67,0.980776,1.046586
-1.78,5.62,1.018878,1.023546
-1.88,5.62,1.004751,1.068034
-1.98,5.57,1.042016,1.07361
-2.03,5.52,1.07361,1.06018
-2.08,5.47,1.068034,1.051136
-2.18,5.37,0.994031,1.031665
-2.23,5.32,0.962423,1.020047
-2.28,5.22,0.946243,0.975914
-2.33,5.17,0.911769,0.975305
-2.38,5.07,0.884077,0.942472
-2.43,4.97,0.869239,0.920824
-2.43,4.92,0.884077,0.893398
-2.48,4.82,0.869239,0.880054
-2.53,4.77,0.836002,0.893398
-2.58,4.67,0.813134,0.880054
-2.58,4.57,0.836002,0.824643
-2.63,4.47,0.8,0.823212
-2.63,4.37,0.8,0.788153
-2.68,4.27,0.75,0.8044
-2.68,4.22,0.75,0.788153
-2.68,4.12,0.75,0.763941
-2.68,4.02,0.75,0.751561
-2.68,3.92,0.740569,0.75
-2.68,3.82,0.714853,0.75
-2.63,3.72,0.751561,0.7
-2.63,3.62,0.726209,0.7
-2.63,3.52,0.706637,0.7
-2.63,3.42,0.7,0.7
-2.63,3.32,0.693303,0.7
-2.63,3.27,0.678011,0.7
-2.58,3.17,0.706637,0.65
-2.58,3.07,0.678011,0.65
-2.58,2.97,0.657107,0.657107
-2.53,2.87,0.678011,0.630074
-2.53,2.77,0.657107,0.65
-2.53,2.67,0.630074,0.65
-2.48,2.57,0.644622,0.60192
-2.48,2.47,0.6,0.617083
-2.48,2.42,0.582456,0.630074
-2.43,2.32,0.6,0.6
-2.43,2.22,0.554152,0.607647
-2.38,2.12,0.568466,0.582456
-2.38,2.07,0.554152,0.6
-2.33,1.97,0.568466,0.55208
-2.33,1.87,0.535235,0.568466
-2.28,1.77,0.554152,0.55
-2.28,1.67,0.509017,0.558276
-2.23,1.62,0.535235,0.520088
-2.23,1.52,0.509017,0.554152
-2.13,1.42,0.560328,0.509017
-2.13,1.32,0.509017,0.554152
-2.08,1.27,0.533095,0.520088
-2.03,1.17,0.533095,0.509017
-2.03,1.12,0.509017,0.533095
-1.98,1.02,0.520088,0.533095
-1.93,0.92,0.533095,0.520088
-1.88,0.82,0.535235,0.509017
-1.88,0.72,0.509017,0.554152
-1.83,0.67,0.535235,0.520088
-1.83,0.57,0.509017,0.554152
-1.78,0.47,0.520088,0.55208
-1.78,0.42,0.509017,0.558276
-1.73,0.32,0.509017,0.535235
-1.68,0.22,0.520088,0.533095
-1.63,0.12,0.533095,0.55208
-1.58,0.07,0.554152,0.551041
-1.58,-0.03,0.520088,0.582456
-1.53,-0.08,0.554152,0.554152
-1.48,-0.18,0.554152,0.560328
-1.43,-0.28,0.568466,0.554152
-1.43,-0.38,0.533095,0.60192
-1.38,-0.43,0.554152,0.55
-1.38,-0.53,0.520088,0.55208
-1.33,-0.63,0.535235,0.520088
-1.33,-0.73,0.509017,0.554152
-1.28,-0.83,0.520088,0.535235
-1.28,-0.93,0.502268,0.55
-1.23,-0.98,0.55,0.5
-1.23,-1.08,0.535235,0.5
-1.23,-1.18,0.509017,0.5
-1.23,-1.28,0.5,0.5
-1.23,-1.38,0.5,0.509017
-1.23,-1.48,0.5,0.5
-1.23,-1.58,0.5,0.5
-1.28,-1.68,0.45,0.55
-1.28,-1.78,0.459902,0.520088
-1.28,-1.88,0.488516,0.502268
-1.33,-1.93,0.464782,0.55
-1.33,-2.03,0.520088,0.520088
-1.38,-2.13,0.533095,0.55208
-1.43,-2.23,0.533095,0.568466
-1.48,-2.28,0.509017,0.607647
-1.48,-2.38,0.554152,0.582456
-1.53,-2.48,0.554152,0.607647
-1.53,-2.58,0.60192,0.6
-1.58,-2.63,0.590312,0.65
-1.58,-2.73,0.644622,0.65
-1.63,-2.83,0.644622,0.7
-1.63,-2.93,0.688241,0.693303
-1.68,-2.98,0.665891,0.726209
-1.73,-3.08,0.67111,0.740569
-1.78,-3.18,0.688241,0.757775
-1.78,-3.28,0.732624,0.726209
-1.83,-3.33,0.713217,0.757775
-1.88,-3.43,0.731025,0.774621
-1.93,-3.53,0.732624,0.777647
-1.98,-3.58,0.713217,0.798528
-2.08,-3.68,0.688241,0.770061
-2.13,-3.73,0.665891,0.763941
-2.18,-3.83,0.67111,0.727817
-2.23,-3.88,0.660634,0.727817
-2.28,-3.98,0.665891,0.692462
-2.33,-4.03,0.644622,0.692462
-2.43,-4.13,0.62082,0.693303
-2.48,-4.18,0.60192,0.7
-2.53,-4.28,0.62082,0.688241
-2.58,-4.33,0.60192,0.692462
-2.63,-4.43,0.62082,0.657107
-2.68,-4.48,0.60192,0.660634
-2.73,-4.58,0.62082,0.644622
-2.78,-4.63,0.60192,0.657107
-2.88,-4.73,0.586396,0.67111
-2.93,-4.83,0.60192,0.665891
-2.98,-4.88,0.590312,0.688241
-2.98,-4.98,0.65,0.644622
-3.03,-5.08,0.6,0.646419
-3.03,-5.13,0.6,0.630074
-3.03,-5.23,0.6,0.607647
-3.03,-5.33,0.6,0.6
-3.03,-5.43,0.6,0.6
-3.03,-5.53,0.6,0.6
-3.03,-5.63,0.6,0.6
-3.03,-5.73,0.6,0.60192
-3.03,-5.83,0.6,0.617083
-2.98,-5.93,0.65,0.6
-2.98,-6.03,0.65,0.644622
-2.98,-6.08,0.630074,0.665891
-2.93,-6.18,0.62082,0.646419
-2.88,-6.28,0.630074,0.644622
-2.83,-6.38,0.644622,0.660634
-2.83,-6.43,0.62082,0.688241
-2.73,-6.53,0.67111,0.660634
-2.68,-6.58,0.688241,0.657107
-2.63,-6.68,0.692462,0.692462
-2.58,-6.73,0.693303,0.692462
-2.48,-6.83,0.711577,0.693303
-2.43,-6.88,0.688241,0.7
-2.33,-6.93,0.688241,0.688241
-2.28,-6.93,0.711577,0.665891
-2.18,-6.98,0.713217,0.665891
-2.08,-7.03,0.731025,0.678011
-1.98,-7.08,0.756226,0.706637
-1.93,-7.13,0.740569,0.751561
-1.83,-7.13,0.801469,0.75
-1.73,-7.18,0.833883,0.8
-1.68,-7.18,0.869239,0.8
-1.58,-7.23,0.904594,0.85
-1.48,-7.23,0.956231,0.85
-1.38,-7.28,0.956231,0.905249
-1.28,-7.28,1.00119,0.920824
-1.18,-7.28,1.029352,0.946243
-1.08,-7.28,1.056797,0.980776
-0.98,-7.28,1.092366,1.023546
-0.88,-7.28,1.135327,1.068034
-0.78,-7.23,1.179837,1.068034
-0.68,-7.18,1.184909,1.068034
-0.63,-7.18,1.16758,1.091271
-0.53,-7.13,1.184909,1.101086
-0.48,-7.08,1.214911,1.090175
-0.38,-7.03,1.231601,1.117262
-0.28,-6.98,1.248075,1.152082
-0.18,-6.93,1.247112,1.187437
-0.18,-6.88,1.26244,1.152082
-0.08,-6.78,1.203994,1.152082
-0.08,-6.73,1.208968,1.116726
-0.03,-6.63,1.175765,1.083578
0.02,-6.53,1.15,1.06018
0.02,-6.48,1.15,1.031665
0.07,-6.38,1.1,1.020047
0.12,-6.28,1.05,1.004751
0.12,-6.18,1.05,0.956231
0.17,-6.08,1.0,0.956231
0.17,-5.98,1.00119,0.911769
0.17,-5.93,1.004751,0.889415
0.22,-5.83,0.969804,0.889415
0.27,-5.73,0.946243,0.898683
0.27,-5.63,0.95,0.869239
0.27,-5.53,0.95,0.836002
0.27,-5.48,0.95,0.823212
0.32,-5.38,0.9,0.855539
0.32,-5.28,0.9,0.85
0.32,-5.18,0.9,0.836002
0.32,-5.08,0.905249,0.813134
0.37,-4.98,0.871954,0.851388
0.37,-4.88,0.898683,0.823212
0.37,-4.78,0.9,0.788153
0.42,-4.68,0.855539,0.813134
0.42,-4.58,0.871954,0.801469
0.42,-4.48,0.898683,0.788153
0.47,-4.43,0.855539,0.823212
0.47,-4.33,0.871954,0.805862
0.47,-4.23,0.898683,0.8
0.47,-4.13,0.934886,0.8
0.52,-4.03,0.851388,0.823212
0.52,-3.93,0.823212,0.805862
0.52,-3.83,0.805862,0.8
0.52,-3.73,0.8,0.774621
0.52,-3.63,0.8,0.756226
0.52,-3.53,0.774621,0.75
0.52,-3.43,0.756226,0.740569
0.52,-3.33,0.75,0.714853
0.52,-3.23,0.75,0.701665
0.52,-3.13,0.75,0.7
0.52,-3.03,0.75,0.7
0.52,-2.93,0.75,0.7
0.52,-2.83,0.75,0.7
0.52,-2.73,0.726209,0.7
0.52,-2.63,0.706637,0.688241
0.52,-2.53,0.7,0.646419
0.52,-2.48,0.7,0.630074
0.57,-2.38,0.65,0.646419
0.57,-2.28,0.65,0.617083
0.57,-2.18,0.65,0.60192
0.57,-2.08,0.65,0.6
0.62,-1.98,0.6,0.630074
0.62,-1.88,0.6,0.607647
0.62,-1.78,0.6,0.6
0.62,-1.68,0.6,0.6
0.62,-1.58,0.6,0.6
