x_m,y_m,s_m,d_left,d_right
-1.180000,5.870000,0.000000,1.060180,1.047725
-1.280000,5.820000,0.111803,1.029352,1.031665
-1.380000,5.770000,0.223607,1.009481,1.023546
-1.480000,5.770000,0.323607,1.042016,0.979563
-1.530000,5.720000,0.394317,1.009481,1.001190
-1.630000,5.670000,0.506121,1.001190,1.009481
-1.730000,5.670000,0.606121,1.046586,0.980776
-1.780000,5.620000,0.676832,1.023546,1.018878
-1.880000,5.620000,0.776832,1.068034,1.004751
-1.980000,5.570000,0.888635,1.073610,1.042016
-2.030000,5.520000,0.959346,1.060180,1.073610
-2.080000,5.470000,1.030056,1.051136,1.068034
-2.180000,5.370000,1.171478,1.031665,0.994031
-2.230000,5.320000,1.242188,1.020047,0.962423
-2.280000,5.220000,1.353992,0.975914,0.946243
-2.330000,5.170000,1.424702,0.975305,0.911769
-2.380000,5.070000,1.536506,0.942472,0.884077
-2.430000,4.970000,1.648309,0.920824,0.869239
-2.430000,4.920000,1.698309,0.893398,0.884077
-2.480000,4.820000,1.810113,0.880054,0.869239
-2.530000,4.770000,1.880823,0.893398,0.836002
-2.580000,4.670000,1.992627,0.880054,0.813134
-2.580000,4.570000,2.092627,0.824643,0.836002
-2.630000,4.470000,2.204430,0.823212,0.800000
-2.630000,4.370000,2.304430,0.788153,0.800000
-2.680000,4.270000,2.416233,0.804400,0.750000
-2.680000,4.220000,2.466233,0.788153,0.750000
-2.680000,4.120000,2.566233,0.763941,0.750000
-2.680000,4.020000,2.666233,0.751561,0.750000
-2.680000,3.920000,2.766233,0.750000,0.740569
-2.680000,3.820000,2.866233,0.750000,0.714853
-2.630000,3.720000,2.978037,0.700000,0.751561
-2.630000,3.620000,3.078037,0.700000,0.726209
-2.630000,3.520000,3.178037,0.700000,0.706637
-2.630000,3.420000,3.278037,0.700000,0.700000
-2.630000,3.320000,3.378037,0.700000,0.693303
-2.630000,3.270000,3.428037,0.700000,0.678011
-2.580000,3.170000,3.539840,0.650000,0.706637
-2.580000,3.070000,3.639840,0.650000,0.678011
-2.580000,2.970000,3.739840,0.657107,0.657107
-2.530000,2.870000,3.851644,0.630074,0.678011
-2.530000,2.770000,3.951644,0.650000,0.657107
-2.530000,2.670000,4.051644,0.650000,0.630074
-2.480000,2.570000,4.163447,0.601920,0.644622
-2.480000,2.470000,4.263447,0.617083,0.600000
-2.480000,2.420000,4.313447,0.630074,0.582456
-2.430000,2.320000,4.425250,0.600000,0.600000
-2.430000,2.220000,4.525250,0.607647,0.554152
-2.380000,2.120000,4.637054,0.582456,0.568466
-2.380000,2.070000,4.687054,0.600000,0.554152
-2.330000,1.970000,4.798857,0.552080,0.568466
-2.330000,1.870000,4.898857,0.568466,0.535235
-2.280000,1.770000,5.010661,0.550000,0.554152
-2.280000,1.670000,5.110661,0.558276,0.509017
-2.230000,1.620000,5.181371,0.520088,0.535235
-2.230000,1.520000,5.281371,0.554152,0.509017
-2.130000,1.420000,5.422793,0.509017,0.560328
-2.130000,1.320000,5.522793,0.554152,0.509017
-2.080000,1.270000,5.593503,0.520088,0.533095
-2.030000,1.170000,5.705307,0.509017,0.533095
-2.030000,1.120000,5.755307,0.533095,0.509017
-1.980000,1.020000,5.867110,0.533095,0.520088
-1.930000,0.920000,5.978914,0.520088,0.533095
-1.880000,0.820000,6.090717,0.509017,0.535235
-1.880000,0.720000,6.190717,0.554152,0.509017
-1.830000,0.670000,6.261428,0.520088,0.535235
-1.830000,0.570000,6.361428,0.554152,0.509017
-1.780000,0.470000,6.473231,0.552080,0.520088
-1.780000,0.420000,6.523231,0.558276,0.509017
-1.730000,0.320000,6.635034,0.535235,0.509017
-1.680000,0.220000,6.746838,0.533095,0.520088
-1.630000,0.120000,6.858641,0.552080,0.533095
-1.580000,0.070000,6.929352,0.551041,0.554152
-1.580000,-0.030000,7.029352,0.582456,0.520088
-1.530000,-0.080000,7.100063,0.554152,0.554152
-1.480000,-0.180000,7.211866,0.560328,0.554152
-1.430000,-0.280000,7.323669,0.554152,0.568466
-1.430000,-0.380000,7.423669,0.601920,0.533095
-1.380000,-0.430000,7.494380,0.550000,0.554152
-1.380000,-0.530000,7.594380,0.552080,0.520088
-1.330000,-0.630000,7.706183,0.520088,0.535235
-1.330000,-0.730000,7.806183,0.554152,0.509017
-1.280000,-0.830000,7.917987,0.535235,0.520088
-1.280000,-0.930000,8.017987,0.550000,0.502268
-1.230000,-0.980000,8.088698,0.500000,0.550000
-1.230000,-1.080000,8.188698,0.500000,0.535235
-1.230000,-1.180000,8.288698,0.500000,0.509017
-1.230000,-1.280000,8.388698,0.500000,0.500000
-1.230000,-1.380000,8.488698,0.509017,0.500000
-1.230000,-1.480000,8.588698,0.500000,0.500000
-1.230000,-1.580000,8.688698,0.500000,0.500000
-1.280000,-1.680000,8.800501,0.550000,0.450000
-1.280000,-1.780000,8.900501,0.520088,0.459902
-1.280000,-1.880000,9.000501,0.502268,0.488516
-1.330000,-1.930000,9.071212,0.550000,0.464782
-1.330000,-2.030000,9.171212,0.520088,0.520088
-1.380000,-2.130000,9.283015,0.552080,0.533095
-1.430000,-2.230000,9.394818,0.568466,0.533095
-1.480000,-2.280000,9.465529,0.607647,0.509017
-1.480000,-2.380000,9.565529,0.582456,0.554152
-1.530000,-2.480000,9.677333,0.607647,0.554152
-1.530000,-2.580000,9.777333,0.600000,0.601920
-1.580000,-2.630000,9.848043,0.650000,0.590312
-1.580000,-2.730000,9.948043,0.650000,0.644622
-1.630000,-2.830000,10.059847,0.700000,0.644622
-1.630000,-2.930000,10.159847,0.693303,0.688241
-1.680000,-2.980000,10.230557,0.726209,0.665891
-1.730000,-3.080000,10.342361,0.740569,0.671110
-1.780000,-3.180000,10.454164,0.757775,0.688241
-1.780000,-3.280000,10.554164,0.726209,0.732624
-1.830000,-3.330000,10.624875,0.757775,0.713217
-1.880000,-3.430000,10.736678,0.774621,0.731025
-1.930000,-3.530000,10.848482,0.777647,0.732624
-1.980000,-3.580000,10.919192,0.798528,0.713217
-2.080000,-3.680000,11.060614,0.770061,0.688241
-2.130000,-3.730000,11.131324,0.763941,0.665891
-2.180000,-3.830000,11.243128,0.727817,0.671110
-2.230000,-3.880000,11.313838,0.727817,0.660634
-2.280000,-3.980000,11.425642,0.692462,0.665891
-2.330000,-4.030000,11.496352,0.692462,0.644622
-2.430000,-4.130000,11.637774,0.693303,0.620820
-2.480000,-4.180000,11.708484,0.700000,0.601920
-2.530000,-4.280000,11.820288,0.688241,0.620820
-2.580000,-4.330000,11.890999,0.692462,0.601920
-2.630000,-4.430000,12.002802,0.657107,0.620820
-2.680000,-4.480000,12.073513,0.660634,0.601920
-2.730000,-4.580000,12.185316,0.644622,0.620820
-2.780000,-4.630000,12.256027,0.657107,0.601920
-2.880000,-4.730000,12.397448,0.671110,0.586396
-2.930000,-4.830000,12.509251,0.665891,0.601920
-2.980000,-4.880000,12.579962,0.688241,0.590312
-2.980000,-4.980000,12.679962,0.644622,0.650000
-3.030000,-5.080000,12.791766,0.646419,0.600000
-3.030000,-5.130000,12.841766,0.630074,0.600000
-3.030000,-5.230000,12.941766,0.607647,0.600000
-3.030000,-5.330000,13.041766,0.600000,0.600000
-3.030000,-5.430000,13.141766,0.600000,0.600000
-3.030000,-5.530000,13.241766,0.600000,0.600000
-3.030000,-5.630000,13.341766,0.600000,0.600000
-3.030000,-5.730000,13.441766,0.601920,0.600000
-3.030000,-5.830000,13.541766,0.617083,0.600000
-2.980000,-5.930000,13.653569,0.600000,0.650000
-2.980000,-6.030000,13.753569,0.644622,0.650000
-2.980000,-6.080000,13.803569,0.665891,0.630074
-2.930000,-6.180000,13.915372,0.646419,0.620820
-2.880000,-6.280000,14.027176,0.644622,0.630074
-2.830000,-6.380000,14.138979,0.660634,0.644622
-2.830000,-6.430000,14.188979,0.688241,0.620820
-2.730000,-6.530000,14.330400,0.660634,0.671110
-2.680000,-6.580000,14.401111,0.657107,0.688241
-2.630000,-6.680000,14.512915,0.692462,0.692462
-2.580000,-6.730000,14.583625,0.692462,0.693303
-2.480000,-6.830000,14.725047,0.693303,0.711577
-2.430000,-6.880000,14.795757,0.700000,0.688241
-2.330000,-6.930000,14.907561,0.688241,0.688241
-2.280000,-6.930000,14.957561,0.665891,0.711577
-2.180000,-6.980000,15.069364,0.665891,0.713217
-2.080000,-7.030000,15.181167,0.678011,0.731025
-1.980000,-7.080000,15.292971,0.706637,0.756226
-1.930000,-7.130000,15.363682,0.751561,0.740569
-1.830000,-7.130000,15.463682,0.750000,0.801469
-1.730000,-7.180000,15.575485,0.800000,0.833883
-1.680000,-7.180000,15.625485,0.800000,0.869239
-1.580000,-7.230000,15.737288,0.850000,0.904594
-1.480000,-7.230000,15.837288,0.850000,0.956231
-1.380000,-7.280000,15.949092,0.905249,0.956231
-1.280000,-7.280000,16.049092,0.920824,1.001190
-1.180000,-7.280000,16.149092,0.946243,1.029352
-1.080000,-7.280000,16.249092,0.980776,1.056797
-0.980000,-7.280000,16.349092,1.023546,1.092366
-0.880000,-7.280000,16.449092,1.068034,1.135327
-0.780000,-7.230000,16.560895,1.068034,1.179837
-0.680000,-7.180000,16.672699,1.068034,1.184909
-0.630000,-7.180000,16.722699,1.091271,1.167580
-0.530000,-7.130000,16.834502,1.101086,1.184909
-0.480000,-7.080000,16.905213,1.090175,1.214911
-0.380000,-7.030000,17.017016,1.117262,1.231601
-0.280000,-6.980000,17.128819,1.152082,1.248075
-0.180000,-6.930000,17.240623,1.187437,1.247112
-0.180000,-6.880000,17.290623,1.152082,1.262440
-0.080000,-6.780000,17.432044,1.152082,1.203994
-0.080000,-6.730000,17.482044,1.116726,1.208968
-0.030000,-6.630000,17.593848,1.083578,1.175765
0.020000,-6.530000,17.705651,1.060180,1.150000
0.020000,-6.480000,17.755651,1.031665,1.150000
0.070000,-6.380000,17.867454,1.020047,1.100000
0.120000,-6.280000,17.979258,1.004751,1.050000
0.120000,-6.180000,18.079258,0.956231,1.050000
0.170000,-6.080000,18.191061,0.956231,1.000000
0.170000,-5.980000,18.291061,0.911769,1.001190
0.170000,-5.930000,18.341061,0.889415,1.004751
0.220000,-5.830000,18.452865,0.889415,0.969804
0.270000,-5.730000,18.564668,0.898683,0.946243
0.270000,-5.630000,18.664668,0.869239,0.950000
0.270000,-5.530000,18.764668,0.836002,0.950000
0.270000,-5.480000,18.814668,0.823212,0.950000
0.320000,-5.380000,18.926471,0.855539,0.900000
0.320000,-5.280000,19.026471,0.850000,0.900000
0.320000,-5.180000,19.126471,0.836002,0.900000
0.320000,-5.080000,19.226471,0.813134,0.905249
0.370000,-4.980000,19.338275,0.851388,0.871954
0.370000,-4.880000,19.438275,0.823212,0.898683
0.370000,-4.780000,19.538275,0.788153,0.900000
0.420000,-4.680000,19.650078,0.813134,0.855539
0.420000,-4.580000,19.750078,0.801469,0.871954
0.420000,-4.480000,19.850078,0.788153,0.898683
0.470000,-4.430000,19.920789,0.823212,0.855539
0.470000,-4.330000,20.020789,0.805862,0.871954
0.470000,-4.230000,20.120789,0.800000,0.898683
0.470000,-4.130000,20.220789,0.800000,0.934886
0.520000,-4.030000,20.332592,0.823212,0.851388
0.520000,-3.930000,20.432592,0.805862,0.823212
0.520000,-3.830000,20.532592,0.800000,0.805862
0.520000,-3.730000,20.632592,0.774621,0.800000
0.520000,-3.630000,20.732592,0.756226,0.800000
0.520000,-3.530000,20.832592,0.750000,0.774621
0.520000,-3.430000,20.932592,0.740569,0.756226
0.520000,-3.330000,21.032592,0.714853,0.750000
0.520000,-3.230000,21.132592,0.701665,0.750000
0.520000,-3.130000,21.232592,0.700000,0.750000
0.520000,-3.030000,21.332592,0.700000,0.750000
0.520000,-2.930000,21.432592,0.700000,0.750000
0.520000,-2.830000,21.532592,0.700000,0.750000
0.520000,-2.730000,21.632592,0.700000,0.726209
0.520000,-2.630000,21.732592,0.688241,0.706637
0.520000,-2.530000,21.832592,0.646419,0.700000
0.520000,-2.480000,21.882592,0.630074,0.700000
0.570000,-2.380000,21.994396,0.646419,0.650000
0.570000,-2.280000,22.094396,0.617083,0.650000
0.570000,-2.180000,22.194396,0.601920,0.650000
0.570000,-2.080000,22.294396,0.600000,0.650000
0.620000,-1.980000,22.406199,0.630074,0.600000
0.620000,-1.880000,22.506199,0.607647,0.600000
0.620000,-1.780000,22.606199,0.600000,0.600000
0.620000,-1.680000,22.706199,0.600000,0.600000
0.620000,-1.580000,22.806199,0.600000,0.600000
0.620000,-1.480000,22.906199,0.600000,0.600000
0.620000,-1.380000,23.006199,0.600000,0.600000
0.620000,-1.280000,23.106199,0.600000,0.601920
0.620000,-1.180000,23.206199,0.600000,0.617083
0.620000,-1.080000,23.306199,0.568466,0.646419
0.620000,-1.030000,23.356199,0.558276,0.650000
0.670000,-0.930000,23.468002,0.582456,0.600000
0.670000,-0.830000,23.568002,0.558276,0.600000
0.670000,-0.730000,23.668002,0.550000,0.600000
0.670000,-0.630000,23.768002,0.550000,0.600000
0.670000,-0.530000,23.868002,0.550000,0.600000
0.670000,-0.430000,23.968002,0.550000,0.600000
0.670000,-0.330000,24.068002,0.550000,0.600000
0.670000,-0.230000,24.168002,0.550000,0.600000
0.670000,-0.130000,24.268002,0.550000,0.600000
0.670000,-0.030000,24.368002,0.550000,0.600000
0.670000,0.070000,24.468002,0.550000,0.600000
0.670000,0.170000,24.568002,0.550000,0.600000
0.670000,0.270000,24.668002,0.550000,0.600000
0.670000,0.370000,24.768002,0.550000,0.600000
0.670000,0.470000,24.868002,0.550000,0.600000
